Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Count,Protocols
192.168.18.114,155.204.117.11,TLS,52556,443,3,['TLS']
100.127.1.12,192.168.18.114,DNS,53,57899,1,['DNS']
162.19.138.120,192.168.18.114,TLS,443,52549,6,['TLS']
3.162.58.118,192.168.18.114,TCP,443,52561,12,['TCP']
192.168.18.114,3.162.58.118,TLS,52561,443,6,['TLS']
3.162.58.118,192.168.18.114,TLS,443,52561,6,['TLS']
18.136.230.251,192.168.18.114,TLS,443,52559,7,['TLS']
155.204.117.11,192.168.18.114,TLS,443,52552,9,['TLS']
192.168.18.114,142.250.197.194,TCP,52562,443,9,['TCP']
44.229.70.138,192.168.18.114,TCP,443,52558,8,['TCP']
192.168.18.114,44.229.70.138,TLS,52558,443,3,['TLS']
192.168.18.114,169.197.150.8,TCP,52563,443,4,['TCP']
142.250.197.194,192.168.18.114,TCP,443,52562,21,['TCP']
192.168.18.114,142.250.197.194,TLS,52562,443,15,['TLS']
192.168.18.114,3.213.29.127,TCP,52564,443,8,['TCP']
44.229.70.138,192.168.18.114,TLS,443,52557,8,['TLS']
142.250.197.194,192.168.18.114,TLS,443,52562,18,['TLS']
3.213.29.127,192.168.18.114,TCP,443,52560,5,['TCP']
192.168.18.114,3.213.29.127,TLS,52560,443,5,['TLS']
155.204.117.11,192.168.18.114,TLS,443,52556,6,['TLS']
44.229.70.138,192.168.18.114,TLS,443,52558,6,['TLS']
192.168.18.114,169.197.150.8,TCP,52565,443,3,['TCP']
169.197.150.8,192.168.18.114,TCP,443,52563,7,['TCP']
3.213.29.127,192.168.18.114,TCP,443,52564,7,['TCP']
192.168.18.114,169.197.150.8,TLS,52563,443,6,['TLS']
192.168.18.114,3.213.29.127,TLS,52564,443,3,['TLS']
3.213.29.127,192.168.18.114,TLS,443,52560,5,['TLS']
169.197.150.8,192.168.18.114,TCP,443,52565,6,['TCP']
192.168.18.114,169.197.150.8,TLS,52565,443,3,['TLS']
192.168.18.114,100.127.1.12,DNS,51351,53,1,['DNS']
192.168.18.114,100.127.1.12,DNS,56209,53,1,['DNS']
100.127.1.12,192.168.18.114,DNS,53,51351,1,['DNS']
100.127.1.12,192.168.18.114,DNS,53,56209,1,['DNS']
192.168.18.114,96.16.100.69,TCP,52566,443,6,['TCP']
